CheckinId,UserName,Light,Smooth,Clean,Sweet,Woody,Zippy,Strong,Hoppy,Floral,Citrus,Milk,Dark,Creamy,Mouthfeel,Soft,Boozy,Caramel,Oatmeal,Dry,Malty,Piney,Grassy,Tart,Sour,Salty,Fruity,Heat,Bitter,Coffee,Roasty,Chocolate,Juicy,Funky,Acidic,LocationName,LocationId,BeerId,BeerName,BeerRating
625286502,ChrisBallenger,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dot's Hop House,5591122,5210,Mama's Little Yella Pils,3
624478945,ChrisBallenger,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The People's Last Stand,125979,52332,The Temptress,3.25
621878639,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2289765,Projekt Mayhem,3
621864856,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2642461,Not A Collaboration,3
621864533,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1966351,Leo v. Ursus: Fortem,3.5
617838109,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HERE Sushi Bar,4907562,2662240,Tennessee Temptress,4.25
617800350,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HERE Sushi Bar,4907562,2306547,Big Chief's Bock,2.75
617784120,ChrisBallenger,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,HERE Sushi Bar,4907562,2586898,Citrus Jammer,3.5
617783142,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HERE Sushi Bar,4907562,687492,Summer's Wit,3
617771800,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HERE Sushi Bar,4907562,5773,Southern Pecan,3
598932720,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2544781,Blackberry Crystal Wheat,2.5
598910779,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1561902,Wee Heavy,3.5
598891490,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2256861,Bourbon Barrel Aged Honey Porter,3.5
594142379,ChrisBallenger,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whitestone Golf Club,1281385,1612289,N10 Imperial Blended Ale,4
594115823,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2635782,Extra Special Ballenger,3
592028792,ChrisBallenger,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electric Cowboy,243097,836,Poperings Hommelbier,3.5
589192656,ChrisBallenger,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2130728,Bishop's Barrel No. 18,4.25
579766816,ChrisBallenger,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Express,7523749,2381562,Draped Up,4
579764565,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Express,7523749,2507700,Divine Reserve No. 18,3.25
579378932,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas Rangers Baseball Hall of Fame,500864,3784,Bud Light,1.25
579076979,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Studio Movie Grill,5856959,3811,Miller Lite,2
579058368,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Studio Movie Grill,5856959,880312,Fire Ant Funeral,2.5
565982616,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2454011,CranJam,3.25
565861415,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,,0,2293147,Aurelian Lure (Blend 5),4.5
562622506,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shannon Brewing Company,2025877,2256861,Bourbon Barrel Aged Honey Porter,3.5
562525107,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shannon Brewing Company,2025877,2513272,Red Russian,4.5
560665632,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shannon Brewing Company,2025877,2413389,Russian Imperial Stout (2017),4
560664103,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2504072,Lacey Blonde,2.75
560526742,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shannon Brewing Company,2025877,2505296,White IPA Batch 1,3.5
554534888,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Idlewild,5028535,13388,Smithwick's,3
554483926,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Market Bar,283450,1199,Guinness Foreign Extra Stout,5
554483113,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Market Bar,283450,1310427,Cute Hoor Red Head Ale,3
554463651,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Market Bar,283450,7120,Murphy's Irish Red,3
554012855,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Long Stone,332325,4473,Guinness Draught,3.75
553544170,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinity City Hotel,323276,5991,Carlsberg,3.25
553211786,ChrisBallenger,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Duggan's Pub,384544,266065,Road 2 Ruin Double IPA,3.25
542340787,ChrisBallenger,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,19004,Samuel Adams Utopias,5
530779067,ChrisBallenger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Midway Craft House,4334620,853242,Mocha Merlin,4
530777680,ChrisBallenger,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Midway Craft House,4334620,2022323,Underdog IPA,3
529924268,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2358056,Mór IPA,3
529911023,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2399122,Banana And Clove Chocolate Stout,4
529362790,ChrisBallenger,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Kroger Signature,521929,1562522,Xolotl,4.5
525844853,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tolar United Methodist Church,7001649,4996,Punkin Ale,3
519478253,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tafts Ale House,2722165,1026561,Culebra Cut,3.5
519471422,ChrisBallenger,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tafts Ale House,2722165,1026563,Gavel Banger,3.5
519470890,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2157962,West Side Amber Ale,3
518846523,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Domino's Pizza,6924429,2248329,Sound And Vision With Tart Cherries,3.75
518816318,ChrisBallenger,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electric Cowboy,243097,1645750,Buckle Bunny,4
518789859,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electric Cowboy,243097,860134,Professor Black,4
518789267,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9060,Hunahpu’s,5
515973600,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3784,Bud Light,2
514780069,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2227777,Crystal Wheat,3.75
514752640,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2289088,Irish Red (Nitro),3.75
514724143,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2256842,Habanero IPA,3.25
513372364,ChrisBallenger,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,286137,Black Angel,3.5
510367824,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,793015,<U+5206> <U+6843> (Fen Táo),4.25
510367672,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1607252,Grapefruit IPA 2018,3.25
510014640,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1205989,Chocolate Hazelnut Stout,3
510012683,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,805959,Off With Your Red,3.5
509924481,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2212501,El Conejo,2.75
509841501,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,332174,Wonderlust,3.5
505973816,ChrisBallenger,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,0,2084225,Queen of the Mist (Passion Fruit),4.25
504797605,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fredericksburg Brewing Company,4030,2282849,Green Chile Carta Verde,3
504794803,ChrisBallenger,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fredericksburg Brewing Company,4030,25055,Pioneer Porter,3
504785834,ChrisBallenger,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Fredericksburg Brewing Company,4030,78492,Anniversary Ale,2.5
